nombre,lat,lon,sistema,municipio_asignado
Hospital 20 de Noviembre,19.37201,-99.17088,Metro/Metrobús,
Insurgentes Sur,19.37355,-99.17825,Metro/Metrobús,
Mixcoac,19.3757,-99.18673,Metro/Metrobús,
Buenavista,19.44619,-99.15235,Metro/Metrobús,
Guerrero,19.44514,-99.14614,Metro/Metrobús,
Garibaldi y Lagunilla,19.44389,-99.13787,Metro/Metrobús,
Lagunilla,19.44322,-99.13023,Metro/Metrobús,
Tepito,19.44279,-99.12407,Metro/Metrobús,
Morelos,19.43917,-99.11957,Metro/Metrobús,
San Lázaro,19.43237,-99.11296,Metro/Metrobús,
Ricardo Flores Magón,19.43657,-99.10371,Metro/Metrobús,
Romero Rubio,19.44084,-99.0942,Metro/Metrobús,
Oceanía,19.44569,-99.08722,Metro/Metrobús,
Deportivo Oceanía,19.45101,-99.07933,Metro/Metrobús,
Bosque de Aragón,19.45809,-99.06929,Metro/Metrobús,
Villa de Aragón,19.46167,-99.06138,Metro/Metrobús,
Nezahualcóyotl,19.47289,-99.05461,Metro/Metrobús,
Impulsora,19.48575,-99.04896,Metro/Metrobús,
Río de los Remedios,19.49069,-99.04679,Metro/Metrobús,
Múzquiz,19.50149,-99.04207,Metro/Metrobús,
Ecatepec,19.51513,-99.03607,Metro/Metrobús,
Olímpica,19.52135,-99.03334,Metro/Metrobús,
Plaza Aragón,19.52848,-99.03018,Metro/Metrobús,
Ciudad Azteca,19.53451,-99.02751,Metro/Metrobús,Ecatepec de Morelos
La Paz,19.35056,-98.96094,Metro/Metrobús,
Los Reyes,19.35904,-98.97687,Metro/Metrobús,Chimalhuacán
Santa Marta,19.36031,-98.99518,Metro/Metrobús,Nezahualcóyotl
Acatitla,19.36472,-99.00567,Metro/Metrobús,Nezahualcóyotl
Penón Viejo,19.37331,-99.01705,Metro/Metrobús,Nezahualcóyotl
Guelatao,19.38515,-99.03566,Metro/Metrobús,Nezahualcóyotl
Tepalcates,19.39128,-99.04633,Metro/Metrobús,Nezahualcóyotl
Canal de San Juan,19.39876,-99.05942,Metro/Metrobús,Nezahualcóyotl
Agrícola Oriental,19.40462,-99.06957,Metro/Metrobús,Nezahualcóyotl
Pantitlán,19.4153,-99.07192,Metro/Metrobús,
Pantitlán,19.41535,-99.07221,Metro/Metrobús,
Puebla,19.40719,-99.08239,Metro/Metrobús,
Ciudad Deportiva,19.40843,-99.09125,Metro/Metrobús,
Velódromo,19.40854,-99.10316,Metro/Metrobús,
Mixiuhca,19.40837,-99.11297,Metro/Metrobús,
Jamaica,19.4091,-99.12235,Metro/Metrobús,
Chabacano,19.40851,-99.13397,Metro/Metrobús,
Lázaro Cárdenas,19.40722,-99.14463,Metro/Metrobús,
Centro Médico,19.40656,-99.15603,Metro/Metrobús,
Chilpancingo,19.40593,-99.16852,Metro/Metrobús,
Patriotismo,19.40611,-99.17892,Metro/Metrobús,
Tacubaya,19.40146,-99.18776,Metro/Metrobús,
Constitución de 1917,19.34597,-99.0638,Metro/Metrobús,
UAM-I,19.35106,-99.07482,Metro/Metrobús,
Cerro de la Estrella,19.35605,-99.08562,Metro/Metrobús,
Iztapalapa,19.35783,-99.09345,Metro/Metrobús,
Atlalilco,19.35608,-99.10131,Metro/Metrobús,
Escuadrón 201,19.36484,-99.10948,Metro/Metrobús,
Aculco,19.37321,-99.1077,Metro/Metrobús,
Apatlaco,19.3791,-99.10949,Metro/Metrobús,
Iztacalco,19.38829,-99.11211,Metro/Metrobús,
Coyuya,19.3983,-99.11348,Metro/Metrobús,
Santa Anita,19.40412,-99.12066,Metro/Metrobús,
La Viga,19.40671,-99.12627,Metro/Metrobús,
Chabacano,19.41021,-99.13375,Metro/Metrobús,
Obrera,19.41324,-99.14404,Metro/Metrobús,
Doctores,19.42155,-99.14319,Metro/Metrobús,
Salto del Agua,19.42772,-99.14185,Metro/Metrobús,
San Juan de Letrán,19.43158,-99.14125,Metro/Metrobús,
Bellas Artes,19.43701,-99.14042,Metro/Metrobús,
Garibaldi y Lagunilla,19.44400000000001,-99.139,Metro/Metrobús,
Barranca del Muerto,19.3615,-99.18926,Metro/Metrobús,
Mixcoac,19.37626,-99.18758,Metro/Metrobús,
San Antonio,19.38434,-99.18661,Metro/Metrobús,
San Pedro de los Pinos,19.39149,-99.18581,Metro/Metrobús,
Tacubaya,19.40219,-99.18675,Metro/Metrobús,
Constituyentes,19.41177,-99.19135,Metro/Metrobús,
Auditorio,19.42576,-99.19203,Metro/Metrobús,
Polanco,19.43355,-99.19093,Metro/Metrobús,
San Joaquín,19.44501,-99.19177,Metro/Metrobús,
Tacuba,19.45823,-99.18717,Metro/Metrobús,
Refinería,19.46947,-99.19051,Metro/Metrobús,
Camarones,19.47911,-99.19004,Metro/Metrobús,
Aquiles Serdán,19.49064,-99.19535,Metro/Metrobús,
El Rosario,19.50474,-99.20012,Metro/Metrobús,
Martín Carrera,19.48294,-99.10748,Metro/Metrobús,
La Villa y Basílica,19.48174,-99.11837,Metro/Metrobús,
Deportivo 18 de Marzo,19.48348,-99.1253,Metro/Metrobús,
Lindavista,19.48811,-99.13507,Metro/Metrobús,
Instituto del Petróleo,19.49104,-99.14813,Metro/Metrobús,
Vallejo,19.48985,-99.156,Metro/Metrobús,
Norte 45,19.48867000000001,-99.16299,Metro/Metrobús,
Ferrería y Arena Ciudad de México,19.49067,-99.17415,Metro/Metrobús,
UAM Azcapotzalco,19.49091,-99.18627,Metro/Metrobús,
Tezozómoc,19.4949,-99.19602,Metro/Metrobús,
El Rosario,19.50463,-99.19977,Metro/Metrobús,
Pantitlán,19.4151,-99.07433,Metro/Metrobús,
Hangares,19.42435,-99.08813,Metro/Metrobús,
Terminal Aérea,19.43427,-99.08808,Metro/Metrobús,
Oceanía,19.44502,-99.08687,Metro/Metrobús,
Aragón,19.45126,-99.09621,Metro/Metrobús,
Eduardo Molina,19.4514,-99.1053,Metro/Metrobús,
Consulado,19.45514,-99.11354,Metro/Metrobús,
Valle Gómez,19.45887,-99.11949,Metro/Metrobús,
Misterios,19.46311,-99.13024,Metro/Metrobús,
La Raza,19.46967,-99.13652,Metro/Metrobús,
Autobuses del Norte,19.47907,-99.14065,Metro/Metrobús,
Instituto del Petróleo,19.48934,-99.14471,Metro/Metrobús,
Politécnico,19.50068,-99.14921,Metro/Metrobús,
Santa Anita,19.40289,-99.1217,Metro/Metrobús,
Jamaica,19.41092,-99.12174,Metro/Metrobús,
Fray Servando,19.42159,-99.12053,Metro/Metrobús,
Candelaria,19.42876,-99.11943,Metro/Metrobús,
Morelos,19.43966,-99.11815,Metro/Metrobús,
Canal del Norte,19.44895,-99.11613,Metro/Metrobús,
Consulado,19.45802,-99.1139,Metro/Metrobús,
Bondojito,19.46463,-99.11198,Metro/Metrobús,
Talismán,19.47436,-99.10801,Metro/Metrobús,
Martín Carrera,19.48504,-99.10437,Metro/Metrobús,
Universidad,19.32435,-99.17394,Metro/Metrobús,
Copilco,19.3361,-99.17697,Metro/Metrobús,
Miguel Ángel de Quevedo,19.34625,-99.18076,Metro/Metrobús,
Viveros y  Derechos Humanos,19.35346,-99.176,Metro/Metrobús,
Coyoacán,19.36136,-99.17086,Metro/Metrobús,
Zapata,19.37119,-99.16451,Metro/Metrobús,
División del Norte,19.37918,-99.15948,Metro/Metrobús,
Eugenia,19.38617,-99.1572,Metro/Metrobús,
Etiopía y Plaza de la Transparencia,19.39592,-99.15603,Metro/Metrobús,
Centro Médico,19.40773,-99.15515,Metro/Metrobús,
Hospital General,19.41376,-99.15325,Metro/Metrobús,
Niños Héroes y  Poder Judicial CDMX,19.41948,-99.15036,Metro/Metrobús,
Balderas,19.42648,-99.14906,Metro/Metrobús,
Juárez,19.43325,-99.14768,Metro/Metrobús,
Hidalgo,19.43738,-99.14678,Metro/Metrobús,
Guerrero,19.44473,-99.14519,Metro/Metrobús,
Tlatelolco,19.45506,-99.14313,Metro/Metrobús,
La Raza,19.46888,-99.13951,Metro/Metrobús,
Potrero,19.47719,-99.13201,Metro/Metrobús,
Deportivo 18 de Marzo,19.48511,-99.1255,Metro/Metrobús,
Indios Verdes,19.49534,-99.11951,Metro/Metrobús,
Tasqueña,19.34376,-99.13953,Metro/Metrobús,
General Anaya,19.35324,-99.14501,Metro/Metrobús,
Ermita,19.36198,-99.1429,Metro/Metrobús,
Portales,19.36992,-99.14157,Metro/Metrobús,
Nativitas,19.38005,-99.14002,Metro/Metrobús,
Villa de Cortés,19.38758,-99.13896,Metro/Metrobús,
Xola,19.39521,-99.13781,Metro/Metrobús,
Viaducto,19.40087,-99.1369,Metro/Metrobús,
Chabacano,19.40918,-99.13562,Metro/Metrobús,
San Antonio Abad,19.41602,-99.13454,Metro/Metrobús,
Pino Suárez,19.42438,-99.13294,Metro/Metrobús,
Zócalo,19.4325,-99.13225,Metro/Metrobús,
